site,trt,code,duration,average_cover,SLA_cm2.g1),SLA_m2.k1,type,average.sla_site.sp,median.sla_site.sp
arch,control,scrh,perennial,55.14285714,104.7366412,10.47366412,grass,136.2013069,113.870412
arch,npk,scrh,perennial,39.85714286,123.0041828,12.30041828,grass,136.2013069,113.870412
arch,control,hyed,perennial,14.28571429,88.18592606,8.818592606,forb,136.2013069,90.74144053
arch,npk,arse,perennial,2.25,92.7967527,9.27967527,forb,136.2013069,96.6743787
arch,npk,hyed,perennial,11.57142857,93.29695499,9.329695499,forb,136.2013069,90.74144053
arch,control,arse,perennial,2,100.5520047,10.05520047,forb,136.2013069,96.6743787
arch,npk,lylu,perennial,14,110.9821618,11.09821618,forb,136.2013069,110.9821618
arch,control,dicha,perennial,0.285714286,172.9390348,17.29390348,grass,136.2013069,185.4212458
arch,control,ptpy,perennial,2,128.6846903,12.86846903,forb,136.2013069,135.573084
arch,npk,pigr,perennial,3,136.5009416,13.65009416,forb,136.2013069,136.5009416
arch,npk,ptpy,perennial,5,142.4614776,14.24614776,forb,136.2013069,135.573084
arch,npk,qumi,perennial,2.857142857,60.04613143,6.004613143,woody_deciduous,136.2013069,62.11868723
arch,control,carph,perennial,5,158.316463,15.8316463,forb,136.2013069,158.316463
arch,control,qumi,perennial,13.71428571,64.19124304,6.419124304,woody_deciduous,136.2013069,62.11868723
arch,npk,dicha,perennial,1.285714286,197.9034569,19.79034569,grass,136.2013069,185.4212458
arch,npk,pase,perennial,5,261.2144103,26.12144103,grass,136.2013069,270.4120775
arch,control,pase,perennial,0.428571429,279.6097447,27.96097447,grass,136.2013069,270.4120775
lubb,control,bogr2,perennial,2.4,106.0223804,10.60223804,grass,119.5529986,115.0800062
lubb,npk,bogr2,perennial,2.4,124.1376319,12.41376319,grass,119.5529986,115.0800062
lubb,npk,chin2,annual,61.33333333,149.0069974,14.90069974,forb,119.5529986,164.7169956
lubb,control,chin2,annual,85,180.4269938,18.04269938,forb,119.5529986,164.7169956
lubb,control,soel,perennial,4.333333333,116.8718889,11.68718889,forb,119.5529986,125.1914269
lubb,control,prgl2,perennial,15,62.67430847,6.267430847,woody_deciduous,119.5529986,64.8012997
lubb,npk,soel,perennial,2,133.5109648,13.35109648,forb,119.5529986,125.1914269
lubb,npk,prgl2,perennial,5,66.92829093,6.692829093,woody_deciduous,119.5529986,64.8012997
lubb,control,arhuh,perennial,1,159.846909,15.9846909,forb,119.5529986,159.846909
lubb,npk,satr,annual,1.714285714,96.09465802,9.609465802,forb,119.5529986,107.8283095
lubb,control,satr,annual,2.857142857,119.561961,11.9561961,forb,119.5529986,107.8283095
sevi,control,hodr,perennial,4,54.5017209,5.45017209,forb,121.8658974,83.3581269
sevi,npk,xasp,perennial,1.6,92.92348337,9.292348337,forb,121.8658974,92.92348337
sevi,npk,poja,perennial,0,104.9103038,10.49103038,forb,121.8658974,105.0021538
sevi,control,poja,perennial,0.944444444,105.0940037,10.50940037,forb,121.8658974,105.0021538
sevi,control,spfl,perennial,2,144.6119848,14.46119848,grass,121.8658974,144.6119848
sevi,npk,hodr,perennial,0,112.2145329,11.22145329,forb,121.8658974,83.3581269
sevi,npk,soel,perennial,1,131.261832,13.1261832,forb,121.8658974,134.8528891
sevi,control,soel,perennial,1.333333333,138.4439461,13.84439461,forb,121.8658974,134.8528891
sevi,control,boer,perennial,15.28571429,178.4795426,17.84795426,grass,121.8658974,179.9154496
sevi,npk,boer,perennial,6.5,181.3513566,18.13513566,grass,121.8658974,179.9154496
sevi,npk,satr,annual,6.285714286,106.5043154,10.65043154,forb,121.8658974,109.2990312
sevi,control,satr,annual,0,112.093747,11.2093747,forb,121.8658974,109.2990312
temple,control,sonu,perennial,17.5,73.68657754,7.368657754,grass,189.6192505,73.68657754
temple,control,spco,perennial,0.5,89.48169871,8.948169871,grass,189.6192505,89.48169871
temple,control,pste,perennial,4,89.16335979,8.916335979,forb,189.6192505,89.16335979
temple,control,miro,perennial,3,89.41409224,8.941409224,forb,189.6192505,123.6173277
temple,control,scsc,perennial,30.25,137.1518449,13.71518449,grass,189.6192505,244.8077071
temple,control,rutr,perennial,12,110.7357583,11.07357583,forb,189.6192505,110.7357583
temple,control,amtr,annual,24.125,184.6407381,18.46407381,forb,189.6192505,193.7476686
temple,control,moci,annual,2,197.0425648,19.70425648,forb,189.6192505,202.3654535
temple,control,cien,perennial,2,147.3849221,14.73849221,forb,189.6192505,147.3849221
temple,npk,amtr,annual,55.35714286,202.8545992,20.28545992,forb,189.6192505,193.7476686
temple,npk,moci,annual,10,207.6883423,20.76883423,forb,189.6192505,202.3654535
temple,npk,miro,perennial,0,157.8205631,15.78205631,forb,189.6192505,123.6173277
temple,control,trbr,perennial,5,158.3887896,15.83887896,forb,189.6192505,158.3887896
temple,control,gapu,annual,9,221.6175712,22.16175712,forb,189.6192505,221.6175712
temple,control,coca,perennial,21.9,162.5511067,16.25511067,forb,189.6192505,196.7001481
temple,control,eubpa,annual,1,226.2361111,22.62361111,forb,189.6192505,226.2361111
temple,control,poacea,perennial,1,173.8255765,17.38255765,grass,189.6192505,173.8255765
temple,control,eude,annual,0,239.0217391,23.90217391,forb,189.6192505,239.0217391
temple,control,pape,annual,2,338.468661,33.8468661,forb,189.6192505,365.9667568
temple,control,soha,perennial,2.25,187.8010206,18.78010206,grass,189.6192505,196.1026124
temple,npk,pape,annual,2,393.4648526,39.34648526,forb,189.6192505,365.9667568
temple,npk,soha,perennial,22.83333333,204.4042042,20.44042042,grass,189.6192505,196.1026124
temple,control,phmo,perennial,2,206.5785008,20.65785008,forb,189.6192505,206.5785008
temple,control,coer,perennial,0.5,208.3155421,20.83155421,forb,189.6192505,208.3155421
temple,control,gate,annual,32.5,156.2845983,15.62845983,forb,189.6192505,184.1839658
temple,npk,coca,perennial,19.5,230.8491894,23.08491894,forb,189.6192505,196.7001481
temple,control,toar,annual,4.8,158.9075592,15.89075592,forb,189.6192505,164.5790442
temple,npk,toar,annual,19,170.2505293,17.02505293,forb,189.6192505,164.5790442
temple,npk,scsc,perennial,0.5,352.4635694,35.24635694,grass,189.6192505,244.8077071
temple,npk,gate,annual,42.5,212.0833334,21.20833334,forb,189.6192505,184.1839658
