"","site","plot","treatment","block","cn_ratio_cwm"
"1","arch",1,"Control",1,58.5097854283861
"2","arch",8,"NPK",1,44.7693464856523
"3","arch",11,"Control",2,47.0541482565757
"4","arch",18,"NPK",2,44.3018447961856
"5","arch",21,"Control",3,51.5919012083556
"6","arch",28,"NPK",3,50.7748476115575
"7","lubb",5,"NPK",1,7.51112450666062
"8","lubb",8,"Control",1,7.95063298943327
"9","lubb",27,"NPK",2,8.65437108744147
"10","lubb",28,"Control",2,7.97584531128065
"11","lubb",29,"NPK",3,7.52893805951775
"12","lubb",37,"Control",3,7.99924649344583
"13","sevi",6,"NPK",1,10.5414874646051
"14","sevi",8,"Control",1,18.1379476073566
"15","sevi",12,"Control",1,17.2347174540188
"16","sevi",15,"NPK",1,14.9324624085802
"17","sevi",17,"NPK",1,15.2572986471486
"18","sevi",22,"Control",1,15.8541420085725
"19","sevi",25,"NPK",1,9.12067733057048
"20","sevi",35,"Control",1,17.6355217666355
"21","sevi",39,"NPK",1,7.34868111327774
"22","sevi",40,"Control",1,10.5642387935656
"23","temple",1,"Control",1,24.8295960531599
"24","temple",8,"NPK",1,15.8290996050985
"25","temple",11,"Control",2,29.413590432718
"26","temple",18,"NPK",2,15.2458461055339
"27","temple",21,"Control",3,23.3691323215506
"28","temple",28,"NPK",3,20.3000098284938
