"","site_code","plot","diversity_plot","richness_plot","treatment","block","evenness"
"1","arch.us",1,1.36780194227876,6,"Control",1,0.227966990379793
"2","arch.us",8,2.23763705526963,6,"NPK",1,0.372939509211606
"3","arch.us",11,9.21658986175115,6,"Control",2,1.53609831029186
"4","arch.us",18,35.3045013239188,9,"NPK",2,3.92272236932431
"5","arch.us",21,1.48649150841726,7,"Control",3,0.212355929773894
"6","arch.us",28,1.62727309710752,7,"NPK",3,0.232467585301075
"7","lubb.us",5,1.16590882592981,4,"NPK",1,0.291477206482453
"8","lubb.us",8,1.7360357623367,6,"Control",1,0.289339293722784
"9","lubb.us",27,5.52104899930987,6,"NPK",2,0.920174833218312
"10","lubb.us",28,1.36986301369863,2,"Control",2,0.684931506849315
"11","lubb.us",29,3.09310238168883,3,"NPK",3,1.03103412722961
"12","lubb.us",37,1.38112008839169,7,"Control",3,0.197302869770241
"13","sevi.us",6,41.7972831765935,6,"NPK",1,6.96621386276559
"14","sevi.us",8,15.9680638722555,3,"Control",1,5.3226879574185
"15","sevi.us",12,23.995200959808,5,"Control",1,4.79904019196161
"16","sevi.us",15,74.6268656716418,3,"NPK",1,24.8756218905473
"17","sevi.us",17,217.391304347826,4,"NPK",1,54.3478260869565
"18","sevi.us",22,219.78021978022,5,"Control",1,43.956043956044
"19","sevi.us",25,196.078431372549,6,"NPK",1,32.6797385620915
"20","sevi.us",35,177.777777777778,6,"Control",1,29.6296296296296
"21","sevi.us",39,29.7619047619048,5,"NPK",1,5.95238095238095
"22","sevi.us",40,519.480519480519,6,"Control",1,86.5800865800866
"23","temple.us",1,1.40726146918097,18,"Control",1,0.0781811927322763
"24","temple.us",8,0.823519723297373,15,"NPK",1,0.0549013148864915
"25","temple.us",11,0.98340503995083,17,"Control",2,0.0578473552912253
"26","temple.us",18,0.453114026144679,17,"NPK",2,0.0266537662438047
"27","temple.us",21,1.89411876124633,19,"Control",3,0.0996904611182279
"28","temple.us",28,0.951882347341869,18,"NPK",3,0.0528823526301038
